Date,index,Open,High,Low,Close,Volume,Bid1_Price,Bid1_Quantity,Ask1_Price,Ask1_Quantity,Bid2_Price,Bid2_Quantity,Ask2_Price,Ask2_Quantity,Bid3_Price,Bid3_Quantity,Ask3_Price,Ask3_Quantity,Bid4_Price,Bid4_Quantity,Ask4_Price,Ask4_Quantity,Bid5_Price,Bid5_Quantity,Ask5_Price,Ask5_Quantity
2023-05-27 17:56:00,0,26751.53,26760.0,26751.53,26754.48,25.4456,26754.47000000,2.87511000,26754.48000000,6.17984000,26754.42000000,0.25953000,26754.52000000,0.00064000,26754.30000000,0.08636000,26755.10000000,0.03812000,26754.22000000,0.03194000,26755.11000000,0.00676000,26754.15000000,0.00066000,26755.19000000,0.00066000
2023-05-27 17:57:00,0,26756.52,26756.53,26752.59,26752.59,3.95849,26752.59000000,2.16498000,26752.60000000,6.34586000,26752.58000000,0.88758000,26752.70000000,0.01863000,26752.57000000,0.26070000,26753.05000000,0.26782000,26752.53000000,0.03813000,26753.11000000,0.15816000,26752.52000000,0.00044000,26753.13000000,0.43098000
2023-05-27 17:58:00,0,26755.48,26759.15,26755.48,26757.84,9.71764,26757.83000000,5.50878000,26757.84000000,0.27304000,26757.80000000,1.66109000,26757.88000000,0.18294000,26757.79000000,1.20000000,26757.89000000,0.10000000,26757.72000000,0.03736000,26758.05000000,0.59381000,26757.57000000,1.53103000,26758.30000000,0.03736000
2023-05-27 17:59:00,0,26764.55,26764.56,26754.15,26754.15,11.22836,26753.96000000,0.08000000,26753.97000000,5.11382000,26753.95000000,0.08251000,26753.98000000,0.00155000,26753.79000000,0.05883000,26754.15000000,0.70262000,26753.63000000,0.00066000,26754.16000000,0.84287000,26753.43000000,0.00727000,26754.18000000,0.03055000
2023-05-27 18:00:00,0,26756.71,26761.7,26755.63,26755.64,23.95006,26755.63000000,4.53623000,26755.64000000,3.80640000,26755.19000000,0.00132000,26755.66000000,0.40000000,26755.10000000,0.02380000,26756.18000000,0.03811000,26754.67000000,0.03802000,26756.19000000,0.37363000,26754.61000000,0.00645000,26756.33000000,0.09340000
2023-05-27 18:01:00,0,26759.21,26759.22,26759.21,26759.22,3.8031,26759.21000000,8.51299000,26759.22000000,2.75302000,26759.20000000,1.00006000,26759.23000000,0.08473000,26759.13000000,0.08976000,26759.25000000,0.08548000,26759.12000000,0.14948000,26759.35000000,0.00066000,26759.03000000,0.27820000,26759.39000000,0.00673000
2023-05-27 18:02:00,0,26754.87,26758.22,26751.83,26758.14,20.94878,26758.14000000,9.51504000,26758.15000000,3.29595000,26758.12000000,0.52371000,26758.19000000,0.00748000,26758.05000000,0.07874000,26758.30000000,0.00876000,26758.03000000,0.08595000,26758.31000000,0.03702000,26757.83000000,0.09340000,26758.33000000,0.50990000
2023-05-27 18:03:00,0,26758.14,26760.0,26758.14,26760.0,6.86046,26759.99000000,6.48576000,26760.00000000,3.81042000,26759.98000000,0.08635000,26760.03000000,0.39828000,26759.97000000,0.15000000,26760.10000000,0.08465000,26759.95000000,0.32625000,26760.14000000,0.00041000,26759.55000000,0.03812000,26760.16000000,0.26562000
2023-05-27 18:04:00,0,26759.99,26760.0,26758.15,26758.15,5.58138,26758.15000000,4.79069000,26758.16000000,3.60933000,26758.14000000,0.11966000,26758.19000000,0.30068000,26758.07000000,0.28957000,26758.34000000,0.00670000,26757.98000000,0.22425000,26758.35000000,0.00678000,26757.88000000,0.03736000,26758.36000000,0.01778000
2023-05-27 18:05:00,0,26758.16,26758.16,26751.47,26751.47,5.3332,26751.47000000,3.44923000,26751.48000000,5.07753000,26751.04000000,0.41422000,26751.50000000,0.07988000,26751.03000000,0.33118000,26751.52000000,0.00561000,26750.69000000,0.00100000,26751.74000000,0.03737000,26750.57000000,0.04900000,26752.06000000,0.09342000
2023-05-27 18:06:00,0,26751.47,26751.48,26748.21,26748.21,4.66889,26748.21000000,0.01549000,26748.22000000,8.22224000,26748.18000000,0.08598000,26748.26000000,0.00753000,26748.11000000,0.81000000,26748.31000000,2.99173000,26748.10000000,0.20000000,26748.54000000,0.05729000,26748.01000000,0.40000000,26748.55000000,0.09343000
2023-05-27 18:07:00,0,26748.01,26748.02,26748.01,26748.01,2.57265,26748.01000000,5.34312000,26748.02000000,4.15444000,26748.00000000,0.04216000,26748.03000000,2.48374000,26747.91000000,0.00066000,26748.04000000,0.05148000,26747.82000000,0.00562000,26748.09000000,0.26964000,26747.78000000,0.10437000,26748.11000000,0.00808000
